"","movie_title","title_year","budget","log_budget","gross","log_gross","country","language","color","duration","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_film_noir","genre_game_show","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_news","genre_reality_tv","genre_romance","genre_sci_fi","genre_short","genre_sport","genre_thriller","genre_war","genre_western","plot_keywords","content_rating","imdb_score","num_critic_for_reviews","num_user_for_reviews","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","movie_facebook_likes","high_gross"
"11","The Lone Ranger ",2013,2.15e+08,19.1861485860919,89289910,18.3073990495413,"USA","English","Color",150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"horse|outlaw|texas|texas ranger|train","PG-13",6.5,450,711,"Gore Verbinski",563,"Johnny Depp",40000,"Ruth Wilson",2000,"Tom Wilkinson",1000,45757,1,48000,"Low"
"12","Man of Steel ",2013,2.25e+08,19.2316109601687,291021565,19.4889079289192,"USA","English","Color",143,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"based on comic book|british actor playing american character|final battle|origin of hero|reboot","PG-13",7.2,733,2536,"Zack Snyder",0,"Henry Cavill",15000,"Christopher Meloni",3000,"Harry Lennix",748,20495,0,118000,"Low"
"13","The Chronicles of Narnia: Prince Caspian ",2008,2.25e+08,19.2316109601687,141614023,18.7686157668064,"USA","English","Color",150,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"brother brother relationship|brother sister relationship|good versus evil|king|narnia","PG",6.6,258,438,"Andrew Adamson",80,"Peter Dinklage",22000,"Pierfrancesco Favino",216,"Damián Alcázar",201,22697,4,0,"Low"
"14","The Avengers ",2012,2.2e+08,19.2091381043166,623279547,20.2505056871865,"USA","English","Color",173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"alien invasion|assassin|battle|iron man|soldier","PG-13",8.1,703,1722,"Joss Whedon",0,"Chris Hemsworth",26000,"Robert Downey Jr.",21000,"Scarlett Johansson",19000,87697,3,123000,"High"
"15","Pirates of the Caribbean: On Stranger Tides ",2011,2.5e+08,19.3369714758265,241063875,19.3005724978314,"USA","English","Color",136,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"blackbeard|captain|pirate|revenge|soldier","PG-13",6.7,448,484,"Rob Marshall",252,"Johnny Depp",40000,"Sam Claflin",11000,"Stephen Graham",1000,54083,4,58000,"Low"
"16","Men in Black 3 ",2012,2.25e+08,19.2316109601687,179020854,19.0030128598124,"USA","English","Color",106,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"alien|criminal|m.i.b.|maximum security prison|prison","PG-13",6.8,451,341,"Barry Sonnenfeld",188,"Will Smith",10000,"Michael Stuhlbarg",816,"Nicole Scherzinger",718,12572,1,40000,"Low"
"17","The Amazing Spider-Man ",2012,2.3e+08,19.2535898668875,262030663,19.3839720892285,"USA","English","Color",153,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lizard|outcast|spider|spider man|teenager","PG-13",7,599,1225,"Marc Webb",464,"Emma Stone",15000,"Andrew Garfield",10000,"Chris Zylka",963,28489,0,56000,"Low"
"18","Robin Hood ",2010,2e+08,19.1138279245123,105219735,18.4715614357312,"USA","English","Color",156,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1190s|archer|england|king of england|robin hood","PG-13",6.7,343,546,"Ridley Scott",0,"Mark Addy",891,"William Hurt",882,"Scott Grimes",738,3244,0,17000,"Low"
"19","The Hobbit: The Desolation of Smaug ",2013,2.25e+08,19.2316109601687,258355354,19.369846536307,"USA","English","Color",186,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dwarf|elf|lake town|mountain|sword and sorcery","PG-13",7.9,509,951,"Peter Jackson",0,"Aidan Turner",5000,"Adam Brown",972,"James Nesbitt",773,9152,6,83000,"Low"
"20","The Golden Compass ",2007,1.8e+08,19.0084674088545,70083519,18.0651982173728,"USA","English","Color",113,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"children|epic|friend|girl|quest","PG-13",6.1,251,666,"Chris Weitz",129,"Christopher Lee",16000,"Eva Green",6000,"Kristin Scott Thomas",1000,24106,2,0,"Low"
"21","Titanic ",1997,2e+08,19.1138279245123,658672302,20.3057367032354,"USA","English","Color",194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"artist|love|ship|titanic|wet","PG-13",7.7,315,2528,"James Cameron",0,"Leonardo DiCaprio",29000,"Kate Winslet",14000,"Gloria Stuart",794,45223,0,26000,"High"
"22","Captain America: Civil War ",2016,2.5e+08,19.3369714758265,407197282,19.8248083483257,"USA","English","Color",147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"based on comic book|knife|marvel cinematic universe|returning character killed off|superhero","PG-13",8.2,516,1022,"Anthony Russo",94,"Robert Downey Jr.",21000,"Scarlett Johansson",19000,"Chris Evans",11000,64798,0,72000,"Low"
"23","Battleship ",2012,2.09e+08,19.1578448099291,65173160,17.9925582857014,"USA","English","Color",131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"box office flop|hawaii|naval|oahu hawaii|ship","PG-13",5.9,377,751,"Peter Berg",532,"Liam Neeson",14000,"Alexander Skarsgård",10000,"Tadanobu Asano",627,26679,0,44000,"Low"
"24","Jurassic World ",2015,1.5e+08,18.8261458520605,652177271,20.2958269709729,"USA","English","Color",124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor","PG-13",7,644,1290,"Colin Trevorrow",365,"Bryce Dallas Howard",3000,"Judy Greer",2000,"Omar Sy",1000,8458,0,150000,"High"
"25","Spider-Man 2 ",2004,2e+08,19.1138279245123,373377893,19.7381015827129,"USA","English","Color",135,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"death|doctor|scientist|super villain|tentacle","PG-13",7.3,300,1303,"Sam Raimi",0,"J.K. Simmons",24000,"James Franco",11000,"Kirsten Dunst",4000,43388,1,0,"Low"
"26","Iron Man 3 ",2013,2e+08,19.1138279245123,408992272,19.829206818963,"USA","English","Color",195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"armor|explosion|human bomb|missile attack|terrorist","PG-13",7.2,608,1187,"Shane Black",1000,"Robert Downey Jr.",21000,"Jon Favreau",4000,"Don Cheadle",3000,30426,3,95000,"High"
"27","Alice in Wonderland ",2010,2e+08,19.1138279245123,334185206,19.6272059062397,"USA","English","Color",108,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion","PG",6.5,451,736,"Tim Burton",13000,"Johnny Depp",40000,"Alan Rickman",25000,"Anne Hathaway",11000,79957,0,24000,"Low"
"28","Monsters University ",2013,2e+08,19.1138279245123,268488329,19.4083180035569,"USA","English","Color",104,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cheating|fraternity|monster|singing in a car|university","G",7.3,376,265,"Dan Scanlon",37,"Steve Buscemi",12000,"Tyler Labine",779,"Sean Hayes",760,14863,0,44000,"Low"
"29","Transformers: Revenge of the Fallen ",2009,2e+08,19.1138279245123,402076689,19.812153397046,"USA","English","Color",150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"autobot|decepticon|machine|sun|symbol","PG-13",6,366,1439,"Michael Bay",0,"Glenn Morshower",894,"Kevin Dunn",581,"Ramon Rodriguez",464,3218,0,0,"High"
"30","Transformers: Age of Extinction ",2014,2.1e+08,19.1626180886817,245428137,19.3185147413701,"USA","English","Color",165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"blockbuster|bumblebee the character|semi truck and trailer|texas|truck","PG-13",5.7,378,918,"Michael Bay",0,"Bingbing Li",974,"Sophia Myles",956,"Kelsey Grammer",808,3988,2,56000,"Low"
"31","Oz the Great and Powerful ",2013,2.15e+08,19.1861485860919,234903076,19.2746835444774,"USA","English","Color",130,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"circus|magic|magician|oz|witch","PG",6.4,525,511,"Sam Raimi",0,"Tim Holmes",44000,"Mila Kunis",15000,"James Franco",11000,73441,4,60000,"Low"
"32","The Amazing Spider-Man 2 ",2014,2e+08,19.1138279245123,202853933,19.1279967361396,"USA","English","Color",142,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager","PG-13",6.7,495,1067,"Marc Webb",464,"Emma Stone",15000,"Andrew Garfield",10000,"B.J. Novak",825,28631,0,41000,"Low"
"33","TRON: Legacy ",2010,1.7e+08,18.9513089950145,172051787,18.9633060766694,"USA","English","Color",125,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"arcade|bridge|disappearance|escape|warrior","PG",6.8,469,665,"Joseph Kosinski",364,"Jeff Bridges",12000,"Olivia Wilde",10000,"James Frain",1000,25550,0,30000,"Low"
"34","Cars 2 ",2011,2e+08,19.1138279245123,191450875,19.070141806261,"USA","English","Color",106,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"best friend|car race|conspiracy|gadget car|spy","G",6.3,304,283,"John Lasseter",487,"Joe Mantegna",1000,"Thomas Kretschmann",919,"Eddie Izzard",776,4482,0,10000,"Low"
"35","Green Lantern ",2011,2e+08,19.1138279245123,116593191,18.5742014339491,"USA","English","Color",123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"autopsy|lantern|planet|ring|test pilot","PG-13",5.6,436,550,"Martin Campbell",258,"Ryan Reynolds",16000,"Temuera Morrison",368,"Taika Waititi",326,17657,2,24000,"Low"
"36","Toy Story 3 ",2010,2e+08,19.1138279245123,414984497,19.8437517208707,"USA","English","Color",103,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"college|day care|escape|teddy bear|toy","G",8.3,453,733,"Lee Unkrich",125,"Tom Hanks",15000,"John Ratzenberger",1000,"Don Rickles",721,19085,3,30000,"High"
"37","Terminator Salvation ",2009,2e+08,19.1138279245123,125320003,18.646381047987,"USA","English","Color",118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"death row|future|machine|rescue|skynet","PG-13",6.6,422,974,"McG",368,"Christian Bale",23000,"Bryce Dallas Howard",3000,"Common",988,27468,0,0,"Low"
"38","Furious 7 ",2015,1.9e+08,19.0625346301248,350034110,19.673541164842,"USA","English","Color",140,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"car falling off a cliff|hospital|revenge|star died before release|terrorist","PG-13",7.2,424,657,"James Wan",0,"Jason Statham",26000,"Paul Walker",23000,"Vin Diesel",14000,79150,0,94000,"Low"
"39","World War Z ",2013,1.9e+08,19.0625346301248,202351611,19.1255173907074,"USA","English","Color",123,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"chaos|disease|infection|pandemic|zombie","PG-13",7,654,995,"Marc Forster",395,"Peter Capaldi",17000,"Brad Pitt",11000,"Mireille Enos",1000,32392,0,129000,"Low"
"40","X-Men: Days of Future Past ",2014,2e+08,19.1138279245123,233914986,19.2704682996174,"USA","English","Color",149,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"dystopia|super strength|supernatural power|time paradox|time travel","PG-13",8,539,752,"Bryan Singer",0,"Jennifer Lawrence",34000,"Peter Dinklage",22000,"Hugh Jackman",20000,91434,7,82000,"Low"
"41","Star Trek Into Darkness ",2013,1.9e+08,19.0625346301248,228756232,19.2481675054647,"USA","English","Color",132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"admiral|captain|manhunt|mission|space","PG-13",7.8,590,1171,"J.J. Abrams",14000,"Benedict Cumberbatch",19000,"Bruce Greenwood",981,"Noel Clarke",928,21411,0,92000,"Low"
"42","Jack the Giant Slayer ",2013,1.95e+08,19.088510116528,65171860,17.9925383386409,"USA","English","Color",114,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bean|giant|king|no opening credits|princess","PG-13",6.3,338,205,"Bryan Singer",0,"Eddie Marsan",979,"Ewen Bremner",557,"Ralph Brown",140,1766,1,22000,"Low"
"43","Prince of Persia: The Sands of Time ",2010,2e+08,19.1138279245123,90755643,18.3236812109942,"USA","English","Color",116,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"alamut|dagger|king|persia|princess","PG-13",6.6,306,453,"Mike Newell",179,"Jake Gyllenhaal",15000,"Richard Coyle",567,"Reece Ritchie",236,16149,2,23000,"Low"
"44","Pacific Rim ",2013,1.9e+08,19.0625346301248,101785482,18.4383780389439,"USA","English","Color",131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"giant monster|kaiju|pilot|portal|robot","PG-13",7,575,1106,"Guillermo del Toro",0,"Charlie Hunnam",16000,"Clifton Collins Jr.",968,"Larry Joe Campbell",919,19166,0,83000,"Low"
"45","Transformers: Dark of the Moon ",2011,1.95e+08,19.088510116528,352358779,19.6801604729938,"USA","English","Color",154,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"autobot|decepticon|job interview|moon|spacecraft","PG-13",6.3,428,899,"Michael Bay",0,"Glenn Morshower",894,"Lester Speight",829,"Kevin Dunn",581,2593,2,46000,"Low"
"46","Indiana Jones and the Kingdom of the Crystal Skull ",2008,1.85e+08,19.0358663830426,317011114,19.5744473911639,"USA","English","Color",122,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957","PG-13",6.2,470,2054,"Steven Spielberg",14000,"Harrison Ford",11000,"Ray Winstone",1000,"Jim Broadbent",1000,14959,2,5000,"Low"
"47","Brave ",2012,1.85e+08,19.0358663830426,237282182,19.2847606321983,"USA","English","Color",93,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"archery|coming of age|female warrior|princess|rebellious daughter","PG",7.2,488,428,"Mark Andrews",56,"Kelly Macdonald",2000,"John Ratzenberger",1000,"Julie Walters",838,5005,0,39000,"Low"
"48","Star Trek Beyond ",2016,1.85e+08,19.0358663830426,130468626,18.6866433420299,"USA","English","Color",122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"hatred|sequel|space opera|star trek|third part","PG-13",7.5,322,432,"Justin Lin",681,"Sofia Boutella",998,"Melissa Roxburgh",119,"Lydia Wilson",105,1327,4,30000,"Low"
"49","WALL·E ",2008,1.8e+08,19.0084674088545,223806889,19.2262941353165,"USA","English","Color",98,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"earth|obesity|plant|robot|soil","G",8.4,421,1043,"Andrew Stanton",475,"John Ratzenberger",1000,"Fred Willard",729,"Jeff Garlin",522,2975,0,16000,"Low"
"50","Rush Hour 3 ",2007,1.4e+08,18.7571529805736,140080850,18.7577303138846,"USA","English","Color",91,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ambassador|assassination|chinese|french|triad","PG-13",6.2,162,221,"Brett Ratner",420,"Tzi Ma",268,"Dana Ivey",268,"Noémie Lenoir",173,1125,2,0,"Low"
"51","2012 ",2009,2e+08,19.1138279245123,166112167,18.9281738229544,"USA","English","Color",158,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ark|catastrophe|geologist|president|writer","PG-13",5.8,367,1055,"Roland Emmerich",776,"Oliver Platt",1000,"Liam James",468,"Tom McCarthy",310,2144,0,13000,"Low"
"52","A Christmas Carol ",2009,2e+08,19.1138279245123,137850096,18.741677391843,"USA","English","Color",96,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"charles dickens|christmas|christmas eve|ghost|scrooge","PG",6.8,240,249,"Robert Zemeckis",0,"Robin Wright",18000,"Colin Firth",14000,"Gary Oldman",10000,48878,0,0,"Low"
"53","Jupiter Ascending ",2015,1.76e+08,18.9859945530024,47375327,17.6736121237177,"USA","English","Color",127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"box office flop|critically bashed|planet earth|space opera|woman in bra and panties","PG-13",5.4,384,720,"Lana Wachowski",0,"Channing Tatum",17000,"Mila Kunis",15000,"Eddie Redmayne",13000,47334,1,44000,"Low"
"54","The Legend of Tarzan ",2016,1.8e+08,19.0084674088545,124051759,18.6362094477678,"USA","English","Color",110,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"africa|capture|jungle|male objectification|tarzan","PG-13",6.6,248,239,"David Yates",282,"Christoph Waltz",11000,"Alexander Skarsgård",10000,"Casper Crump",103,21175,2,29000,"Low"
"55","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,1.8e+08,19.0084674088545,291709845,19.4912701846969,"USA","English","Color",150,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hide and seek|lion|magic|professor|snow","PG",6.9,284,1463,"Andrew Adamson",80,"Jim Broadbent",1000,"Kiran Shah",190,"Shane Rangi",82,1317,5,0,"Low"
"56","X-Men: Apocalypse ",2016,1.78e+08,18.9972941082564,154985087,18.8588394573515,"USA","English","Color",144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"mutant|superhero|superhero team|x men|year 1983","PG-13",7.3,396,622,"Bryan Singer",0,"Jennifer Lawrence",34000,"Michael Fassbender",13000,"Tye Sheridan",1000,49684,6,54000,"Low"
"57","The Dark Knight ",2008,1.85e+08,19.0358663830426,533316061,20.0946247913746,"USA","English","Color",152,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"based on comic book|dc comics|psychopath|star died before release|urban setting","PG-13",9,645,4667,"Christopher Nolan",22000,"Christian Bale",23000,"Heath Ledger",13000,"Morgan Freeman",11000,57802,0,37000,"High"
"58","Up ",2009,1.75e+08,18.9802965318878,292979556,19.4956133898029,"USA","English","Color",96,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"balloon|house|promise|retirement|skeleton","PG",8.3,408,704,"Pete Docter",0,"John Ratzenberger",1000,"Delroy Lindo",848,"Jess Harnell",262,2635,1,27000,"Low"
"59","Monsters vs. Aliens ",2009,1.75e+08,18.9802965318878,198332128,19.1054535975124,"USA","English","Color",94,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"alien|alien invasion|alien space craft|giant|giantess","PG",6.5,219,187,"Rob Letterman",11,"Amy Poehler",1000,"Rainn Wilson",973,"Stephen Colbert",459,2579,2,0,"Low"
"60","Iron Man ",2008,1.4e+08,18.7571529805736,318298180,19.5784991743598,"USA","English","Color",126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"afghanistan|billionaire|inventor|playboy|u.s. air force","PG-13",7.9,486,1055,"Jon Favreau",4000,"Robert Downey Jr.",21000,"Jeff Bridges",12000,"Jon Favreau",4000,39252,3,10000,"High"
"61","Hugo ",2011,1.7e+08,18.9513089950145,73820094,18.117141528933,"USA","English","Color",126,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"automaton|mechanical|railway station|steampunk|train","PG",7.5,682,678,"Martin Scorsese",17000,"Chloë Grace Moretz",17000,"Christopher Lee",16000,"Ray Winstone",1000,36017,0,42000,"Low"
"62","Wild Wild West ",1999,1.7e+08,18.9513089950145,113745408,18.5494732457497,"USA","English","Color",106,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"buddy movie|general|inventor|steampunk|utah","PG-13",4.8,85,648,"Barry Sonnenfeld",188,"Will Smith",10000,"Salma Hayek",4000,"Bai Ling",582,15870,2,0,"Low"
"63","The Mummy: Tomb of the Dragon Emperor ",2008,1.45e+08,18.7922443003848,102176165,18.442208989356,"USA","English","Color",112,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"army|china|emperor|mummy|shangri la","PG-13",5.2,264,501,"Rob Cohen",357,"Jet Li",5000,"Brendan Fraser",3000,"Russell Wong",595,9131,2,0,"Low"
"64","Suicide Squad ",2016,1.75e+08,18.9802965318878,161087183,18.8974562857022,"USA","English","Color",123,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"based on comic book|critically bashed|father daughter relationship|reference to superman|super villain","PG-13",6.9,418,971,"David Ayer",452,"Will Smith",10000,"Robin Atkin Downes",336,"Ike Barinholtz",329,11287,8,80000,"Low"
"65","Evan Almighty ",2007,1.75e+08,18.9802965318878,100289690,18.4235734560236,"USA","English","Color",96,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ark|change|congressman|depiction of god|flood","PG",5.4,186,257,"Tom Shadyac",293,"Jimmy Bennett",87000,"Morgan Freeman",11000,"Steve Carell",7000,108016,0,2000,"Low"
